Date,Town,Super (PMS),Diesel (AGO),Kerosene (IK)
15/02/2014,Nairobi,113.8,103.7,94.1
15/01/2014,Nairobi,112.5,102.3,92.8
15/12/2013,Nairobi,116.7,107.2,98.1
15/11/2013,Nairobi,115.8,106.3,97.2
15/10/2013,Nairobi,114.9,105.4,96.3
15/09/2013,Nairobi,113.7,104.2,95.1
15/08/2013,Nairobi,112.6,103.1,93.9
15/07/2013,Nairobi,111.4,101.8,92.7
15/06/2013,Nairobi,110.2,100.6,91.4
15/05/2013,Nairobi,109.5,99.8,90.6
15/04/2013,Nairobi,117.65,106.44,83.83
15/03/2013,Nairobi,113.57,106.2,88.54
15/02/2013,Nairobi,113.57,106.2,85.93
15/01/2013,Nairobi,111.6,103.99,83.86
15/12/2012,Nairobi,112.61,105.79,86.44
15/11/2012,Nairobi,113.68,105.85,84.87
15/10/2012,Nairobi,115.26,106.11,86.01
15/09/2012,Nairobi,122.1,113.1,103.8
15/08/2012,Nairobi,106.48,97.08,73.97
15/07/2012,Nairobi,108.46,97.5,74.4
15/06/2012,Nairobi,117.67,105.51,83.2
15/05/2012,Nairobi,117.5,108.1,98.7
15/04/2012,Nairobi,118.5,108.8,86.28
15/03/2012,Nairobi,111.69,105.12,84.13
15/02/2012,Nairobi,113.8,104.1,94.8
15/01/2012,Nairobi,112.5,102.8,93.5
15/12/2011,Nairobi,119.06,110.98,90.74
15/11/2011,Nairobi,118.8,109.5,100.2
15/10/2011,Nairobi,117.5,108.2,98.9
15/09/2011,Nairobi,117.75,108.17,88.29
15/08/2011,Nairobi,117.22,108.97,88.96
15/07/2011,Nairobi,115.39,106.12,86.16
15/06/2011,Nairobi,114.93,106.3,85.71
15/05/2011,Nairobi,111,101.7,92.4
04/04/2011,Nairobi,111.17,105.44,88.73
15/03/2011,Nairobi,102.44,94.53,83.97
15/02/2011,Nairobi,98.08,91.72,79.52
15/01/2011,Nairobi,105.8,96.5,87.2
15/12/2010,Nairobi,94.03,87.45,75.83
15/12/2010,Nairobi,112.8,103.5,94.4
15/11/2010,Nairobi,111.5,102.2,93.1
15/09/2010,Nairobi,108.9,99.6,90.5
15/08/2010,Nairobi,107.6,98.3,89.2
15/07/2010,Nairobi,106.3,97,87.9
15/06/2010,Nairobi,105,95.7,86.6
15/05/2010,Nairobi,103.7,94.4,85.3
15/04/2010,Nairobi,90.64,79.9,61.8
15/03/2010,Nairobi,88.52,76.9,61.35
15/02/2010,Nairobi,99.8,90.5,81.4
15/01/2010,Nairobi,98.5,89.2,80.1
